pillar,column,label,n,r2_baseline,r2_baseline_flexible,r2_alone_shape_v1,lift_shape_v1,lift_shape_v1_flexbase,r2_alone_shape_v1_boost,lift_shape_v1_boost,lift_shape_v1_flexbase_boost,r2_alone_shape_v2,lift_shape_v2,lift_shape_v2_flexbase,r2_alone_shape_v2_boost,lift_shape_v2_boost,lift_shape_v2_flexbase_boost,r2_alone_typed,lift_typed,lift_typed_flexbase,r2_alone_typed_boost,lift_typed_boost,lift_typed_flexbase_boost,r2_alone_typed_plus_shape_v2,lift_typed_plus_shape_v2,lift_typed_plus_shape_v2_flexbase,r2_alone_typed_plus_shape_v2_boost,lift_typed_plus_shape_v2_boost,lift_typed_plus_shape_v2_flexbase_boost,r2_alone_size_nonlinear,lift_size_nonlinear,lift_size_nonlinear_flexbase,r2_alone_size_nonlinear_boost,lift_size_nonlinear_boost,lift_size_nonlinear_flexbase_boost,lift_boost_floor,lift_boost_floor_flexbase
B,lq_emp_31-33,Manufacturing LQ,2570,0.21533661592667597,0.2096869843991731,0.1034241148668339,0.005995388464220319,0.003561049998434207,0.08221443252923843,-0.06750456014184392,-0.07720663213174572,0.08979169479818394,0.007652944267494632,0.0029499523346943057,0.09371992955702102,-0.04677607548078422,-0.05172925907505599,0.02844465248667305,0.005827199385416315,0.0022793664341459463,-0.0035090423692727413,-0.045716103415695764,-0.0467004201979917,0.09389596096172625,0.010169275827645596,0.006770325325811344,0.11458739046879118,-0.03028834391358548,-0.04624215043648172,0.06633844174190939,5.913099429211144e-06,3.2654922854646884e-07,0.008828661188631348,-0.04335536470341361,-0.07476783210727644,-0.08488787986116675,-0.0716555290778017
B,lq_emp_72,Accommodation & Food Services LQ,2369,0.1273463186110919,0.1738813870871414,0.0827602866945295,0.025461320279749344,0.012028107740071237,0.024452485424165227,-0.018511573761996414,-0.02609224364468965,0.08443489914008784,0.01602433898080846,0.010167424979942163,0.02094244673948309,-0.009662959495454038,-0.026756684177180134,0.05251131844973267,0.025305423064226562,0.025540366213229415,-0.011556215677184678,-0.018796879013160406,-0.021721242078769687,0.1145466670614873,0.04767196250359795,0.028052436000820413,0.06000308660648834,0.024344850824750797,0.009682640029850753,0.09407556968183495,0.024840811796482676,3.2384414283548324e-07,-0.003214841999085394,-0.059454856531924394,-0.0935272241273305,-0.09700201739497671,-0.08548206730833963
B,lq_emp_62,Health Care & Social Assistance LQ,1942,0.1949204967431195,0.19835580792145924,0.0912928626036249,0.002515942078804012,0.0011678726825226082,0.029765794380356425,-0.069030711223661,-0.06330552897397879,0.08225964677346942,0.001338674627365255,0.0012512952865847415,0.053541962884850025,-0.04568539930760196,-0.062335824560355246,0.02528523401107452,-0.00015609780878700352,-0.0002101046099780568,-0.039739938285375365,-0.07620251269092715,-0.07711561940410061,0.0753166358834495,0.0011676286448868423,0.0007017823056600925,0.07240026382658626,-0.05064425668558481,-0.060262336482243106,0.08169502370876625,9.058305814324541e-07,-4.9178430994167854e-08,0.008129579271044185,-0.05926416747572716,-0.07598698596989995,-0.12732269638447302,-0.1289686110133892
B,lq_emp_81,Other Services (except Public Administration) LQ,2579,0.197496190083839,0.2008193525569758,0.061844287337672554,4.168736945675544e-05,4.058141503138213e-05,0.010334158813047,-0.07803081569634218,-0.07691314238409208,0.06636957400440457,8.687950166919034e-05,8.690680020384534e-05,0.03208225406312781,-0.07085626934586786,-0.06857349616910702,0.04285974425745209,5.966558791925536e-06,4.644575001711004e-06,-0.031035461021696298,-0.058650530441885396,-0.060697154807434206,0.06802635945067614,9.217145249407199e-05,9.085992348578653e-05,0.04446892481383413,-0.06051086230806024,-0.05973449466228542,0.13593082911774446,3.6169867200230854e-06,2.3621013289787385e-07,0.030641156580644258,-0.08587796251201507,-0.09363144359029707,-0.07428682251497776,-0.07595141969669161
B,lq_emp_99,Unclassified LQ,1075,0.4647821277214771,0.4869419313920875,0.04295861931114886,0.002166241639305899,-3.770214805554062e-05,0.12945057913502356,-0.06251444749210644,-0.0686904408170198,0.06513732809201489,0.0033560919117657795,-0.00011586081490355671,0.20559240016965719,-0.03318510254902163,-0.03788583764486064,-0.001559325196780037,0.0010208161284400719,0.000651613850651156,-0.04971402521562229,-0.046685635324810404,-0.054426149263612,0.06620663984368058,0.003406786004778395,-8.413996719691674e-05,0.19559649601805407,-0.03489830979393538,-0.04426921913437609,0.05798629918635678,0.026551547942407994,-1.254505271885975e-07,0.015712901922095845,-0.014446733032147163,-0.05899769608887884,-0.0497234146218829,-0.04205512114833665
B,lq_emp_55,Management of Companies & Enterprises LQ,1296,0.1937465106412405,0.1978551192453183,0.059432728743200824,0.000505023381683678,-0.00015030882218891595,-0.023238591694869415,-0.08992499987222358,-0.05907029879626269,0.06359854362397854,0.0007685094541465265,0.00018781402478762477,-0.023399232736280196,-0.0889211780391519,-0.07303519047011575,0.034624125864626265,0.0007497288212641173,0.000968069515142389,-0.04060557151056199,-0.09113152860039264,-0.07775772026139938,0.0674414396856976,0.002121897745860246,0.0017439773954098792,0.003782708500880805,-0.08292125009871365,-0.06191600542691045,0.1661111324961383,0.005743177198665794,-1.0088618607184685e-08,0.07869439313130366,-0.06646377272548731,-0.08181368448778437,-0.04949171099215044,-0.04691988450694051
B,lq_emp_61,Educational Services LQ,1587,0.11605968685111279,0.11939022852424708,0.06765855038116819,0.0036866813624627515,0.0005047819402355103,0.0013815726655529437,-0.05526987059238664,-0.07043652917143073,0.06259090221056185,0.002592062665431105,0.001019109741447699,0.03799509957780234,-0.018494428854142764,-0.027249680091136708,0.043632933110424044,9.412500025529624e-05,0.0013929019980492008,-0.05601517453833704,-0.08487059899507132,-0.077508760419569,0.06876500618558645,0.003594214298840992,0.0025254804641208217,0.05246641974525279,-0.03266666898131887,-0.0454447392204117,0.06584010260973494,0.006531165903084446,-8.859963085416922e-08,0.008872663234933187,-0.06191056182219068,-0.07572429348081366,-0.08749591563851711,-0.08375284435624519
F,distress_count,demographic distress count,3144,0.20167572221044416,-0.04462066913334928,0.03903184605346566,0.006713098724784761,0.0006084135871298191,0.03573099150898651,-0.04174640561688214,-0.046411346019732624,0.05238725771021768,0.009462674620205558,0.0011202543850414859,0.07891791462291475,-0.018466464655251147,-0.019753915419806978,0.04895267598809139,0.021816960040274447,0.0034712999035890757,-0.011170818502724611,-0.023864354047146596,-0.04861234142729631,0.10074072564649872,0.017780974083004164,0.0037417103777250826,0.11774246243303654,-0.0016198445600972278,-0.008373723832935331,0.1633249526128081,0.01892370866373161,-3.184577648251974e-07,0.25417695716090283,0.0697795324897259,0.01202675736509784,-0.0848934405020555,-0.07704975557120819
B,lq_emp_44-45,Retail Trade LQ,3050,0.11176030272464232,0.15111335248245905,0.042657113590068296,0.010313080189363388,0.0008446783065300112,-0.01972026250513248,-0.04872846103876882,-0.060368044214318295,0.04548700840532549,0.012449170933527487,0.00014738703473482495,0.002576517452482996,-0.04513624653825821,-0.0590088009415729,-0.0009593556109397383,-0.001438649907400058,-0.001947473819581269,-0.08243436551251881,-0.09251246744311048,-0.07887478870544429,0.04141059738205144,0.011704238521626276,0.001510161526780185,-0.0020222627258252857,-0.049575655079953984,-0.051351618338916216,0.15526785634840323,0.0496248919195893,5.898086529176894e-07,0.07929839680983064,-0.013559085388664571,-0.05881462780865565,-0.09845064017747229,-0.09383325600063908
E,capital_to_wage_ratio,capital-to-wage ratio,3143,0.3703232263560705,0.14273803720319544,0.031593534011775226,0.0017930206418097505,0.0007486374859099199,0.032993169849899084,-0.03587551332332228,-0.030687507789043833,0.04152346863662437,0.0015151006806271017,-9.042842885298441e-05,0.0307954306927547,-0.03150103278839067,-0.04089515523812992,0.02450220620223098,0.005295595842387146,0.003108211181168996,-0.010131660702961787,-0.022791246868801407,-0.022991505765689202,0.05071661026224683,0.004445676200705684,0.002490397959989177,0.0590007388159669,-0.020455394110873937,-0.03709689690192264,0.3153497257048279,5.925599263045811e-06,2.5952446047750044e-07,0.31792977923622423,0.06477702801224727,-0.003441861436376592,-0.06934679839732394,-0.0527311411886171
B,lq_emp_52,Finance & Insurance LQ,2638,0.12576347654606812,0.20129712758335083,0.027761976131262966,-0.00216985299480299,0.0001111736665200258,-0.020754697118233745,-0.09654945255349912,-0.10004334747798493,0.03648879600986721,0.0005208309491688823,0.00022523083756942341,-0.010277214226806386,-0.06593276245306412,-0.0640047112225105,0.030107200921201338,0.0040068973022570065,0.0012941298211609498,-0.03619619711339905,-0.06622672582490219,-0.07246126185942592,0.04494219534616495,0.0006302977227334861,-0.00019050053501368236,0.006175969660762837,-0.07875382096024264,-0.0674318107693288,0.11382726549596922,0.06521304553737961,-1.2146449845928942e-08,0.07114110089663828,0.023007461473209978,-0.045714393651406615,-0.10489072702929869,-0.08980180192850973
B,lq_emp_51,Information LQ,1914,0.034408517348630485,0.10067094954740874,0.02811122999203053,0.0036596329491876967,7.687930821109745e-05,-0.042792917873712755,-0.08317311790690718,-0.07249763450776592,0.035217893654533206,0.001651615775725479,7.567402904895548e-05,-0.08112217475565275,-0.1001708575267849,-0.06413131071126432,0.01244560663048011,0.0027931312355452542,-0.00018577331239932882,-0.04901667215708261,-0.0630396395558851,-0.06438774950132076,0.03610658898807684,0.009839913361048724,9.461024692269948e-05,-0.07343765317360629,-0.10287235814129547,-0.06598682028374236,0.17456766545595437,0.0870866026310455,9.993833405275154e-08,0.07382333595730028,0.021631957434502747,-0.046539781468943664,-0.10483974325438472,-0.07568210458099056
B,lq_emp_71,"Arts, Entertainment & Recreation LQ",2243,0.1705917025261645,0.18682841784252557,0.025955306315610938,0.0029038361454314376,0.0022135446867962427,-0.03995838116329886,-0.06307556307784734,-0.052646725341688905,0.028292667173692387,0.004314528011896357,0.0035700698155237687,-0.04200336666685356,-0.07970819128250795,-0.05728499039735313,0.00896993600340068,0.0017018719620474076,0.0019419512931961869,-0.05268404100173529,-0.05134189325582261,-0.04713100594532549,0.031033935297915982,0.005602123743568499,0.004728140052419172,-0.047229460158409564,-0.07348933858388429,-0.055678360453219056,0.09410273071208064,1.770763642272577e-06,-2.9045765170820914e-07,0.04057834702020835,-0.08799902828294848,-0.1000630166994303,-0.0704938699150841,-0.07028868498706797
C,gdp_velocity_pct,GDP velocity (normalized),3080,0.12332557858744797,0.13582577390814565,0.018329154899546785,0.0005481676212376607,3.305516471330261e-05,-0.060381291765121636,-0.06975223190680768,-0.05801844918687238,0.026050875897571935,0.0006847341046377631,3.131212824514229e-05,-0.010967739702271384,-0.0601627978559075,-0.0464137661500319,0.0066806235607864695,0.001855640545938786,0.0013965373242178503,-0.049207578619507863,-0.06124459524275083,-0.05952792427171283,0.028915839634490847,0.0009680268108859247,0.00045372315159386556,-0.019783629610380382,-0.05755541453956037,-0.05185524839129718,0.07010984076569371,0.0052980813773194635,0.0,0.017632320306337657,-0.03944130230568044,-0.061420444691240195,-0.0752653851173879,-0.07247088789521716
B,lq_emp_22,Utilities LQ,1415,0.053968085673279154,0.05790247962968598,0.01696957299844115,0.00035759635059295913,7.113697934046925e-05,-0.03944629940361821,-0.03367811629963546,-0.05043558938835213,0.024196937457171108,-0.00037113078506623154,-0.00012493051289053092,-0.03837680671580146,-0.0743971253871416,-0.07597269373731563,0.013755035359851897,-0.003236776401198904,-2.4343656306324846e-05,-0.0040662323065994155,-0.03484822048624292,-0.045389268928543336,0.029088123106254193,-0.0010646746924476425,-0.0011302169236588888,0.0011999120637544713,-0.04634958438474868,-0.05195623109997827,0.10680701797513148,0.012961073531842282,7.671337820536195e-08,0.07987314398431145,-0.035215479306975994,-0.0595692519264176,-0.07753793201711612,-0.06795141952836647
B,lq_emp_48-49,Transportation & Warehousing LQ,2160,0.042099063008771975,0.047718184902204475,0.01324113813809269,-0.0006261125423556724,-0.001854509432811735,-0.0781316497795288,-0.0869335059359232,-0.09324231271038419,0.0156380362168399,0.0026047636691349796,0.002076770770196412,-0.05142241271862025,-0.05207704989774797,-0.057836714498285535,0.02122116105410543,0.005680735227677647,0.0024279957410409114,-0.08076688826457423,-0.08659689378109603,-0.08866173198260185,0.020291881484768015,0.0029671575817165063,0.003855374080834917,-0.0426224049789552,-0.06081887356079407,-0.05824197266235409,0.03334499095342969,-0.0004154589092081329,7.13932123419525e-08,-0.09078236600652989,-0.11159057150683227,-0.11808634890739633,-0.09667075082023013,-0.09031828323274749
C,unemployment_velocity,unemployment velocity,3143,0.5499196481999624,0.5310565977528199,0.01473114063289338,-5.737501812319579e-06,9.025719647004493e-06,0.3346066819982737,-0.03679855257420206,-0.032907564765756736,0.014460900578085356,1.9477696188374694e-05,3.638071324663095e-05,0.3437837488738238,-0.037956423180857346,-0.03375206048097812,-8.98055232756434e-06,-7.057214899564013e-05,-0.0001113002502093341,-0.012487947619164164,-0.03960336440128254,-0.04009638053776754,0.01459757102805237,5.864427425117391e-05,8.175986644443078e-05,0.34656299238358246,-0.02921736865293767,-0.03271727090170484,0.012954801581558595,-3.5834507361443e-07,1.630958292864193e-07,-0.06941733211408052,-0.05630089858269005,-0.05228552902861194,-0.04597060129420616,-0.045222187203307174
B,lq_emp_23,Construction LQ,2469,0.09829521286403486,0.11208933327945547,0.004530085485907054,-0.0004003005208821353,3.672176032620822e-05,-0.08377081730378988,-0.12731090610785079,-0.11255233324714453,0.007068238223295276,-3.140493758924112e-05,5.669862107404722e-05,-0.08147222197443882,-0.09199683421255411,-0.09002705385825116,0.0013408829790371168,0.00015368633468137993,4.093763246881821e-05,-0.07511354358796729,-0.08330885891739281,-0.08149666237758768,0.008177927501336058,-3.451156437628278e-05,6.646334596116521e-05,-0.057774619507964475,-0.09059805064960602,-0.09200050733762255,0.038221076275743227,1.7687770185181861e-06,2.331277925149422e-07,-0.046103355515921596,-0.09631995933393578,-0.0939380608082494,-0.11972955733049107,-0.11851514529350404
